Question,Answer
Can grandparents seek custody of grandchildren in Sri Lanka?,"Yes, grandparents can seek custody of their grandchildren in Sri Lanka if they believe that the child’s parents are unfit or unable to provide proper care. Under the Children’s Charter (No. 50 of 1992), the best interests of the child are always the primary concern. If the parents are unable to provide a safe environment, grandparents can apply to the Family Court for custody. The court will assess whether living with the grandparents is in the child’s best interest, considering the stability, care, and relationship between the child and the grandparents."
What is the Domestic Violence Act (No. 34 of 2005) in Sri Lanka?,"The Domestic Violence Act (No. 34 of 2005) in Sri Lanka is designed to provide legal protection for individuals who are victims of domestic violence. The act allows victims to apply for protection orders, which prevent the abuser from coming near the victim or contacting them. The law covers physical, psychological, and emotional abuse within families, and it extends to spouses, children, and other family members. The Family Court can issue orders for the immediate protection of the victim, and the act includes provisions for the maintenance and custody of children when domestic violence is involved."
How does Sri Lankan law treat a woman’s property after divorce?,"Under Sri Lankan law, a woman’s property rights are protected after a divorce. The Marriage and Divorce Act (No. 19 of 1859) stipulates that each spouse retains ownership of their property after divorce, and any jointly owned property will be divided equitably. If the wife has contributed to the acquisition of the property, she is entitled to a share of it, regardless of whether her name appears on the title deed. In some cases, the Family Court may order an unequal distribution of property if one spouse has contributed more or if there are special circumstances, such as the care of children or financial dependency."
What is the process for registering a marriage in Sri Lanka?,"In Sri Lanka, the Marriage Registration Ordinance (No. 19 of 1907) governs the registration of marriages. Couples wishing to get married must apply to the Registrar of Marriages or a religious institution, depending on the type of ceremony. Both parties must be at least 18 years old (16 with parental consent). The couple must present documents such as their national identity cards or passports, proof of their marital status, and a birth certificate. Once the marriage is performed, it must be registered with the relevant authorities to ensure legal recognition."
How does Sri Lankan law define the rights of a wife in a marriage?,"In Sri Lanka, the Marriage and Divorce Act (No. 19 of 1859) outlines the rights of a wife within marriage. A wife has the right to companionship, financial support, and the protection of her personal dignity. She is entitled to maintenance, even during a separation, as well as a fair share of property upon divorce. The law also protects a wife’s right to seek a divorce if the husband is guilty of adultery, cruelty, or desertion. Additionally, a wife is entitled to seek child custody in the event of a divorce, with the court considering the best interests of the child."
What happens to a child’s inheritance rights if the parents are divorced in Sri Lanka?,"In Sri Lanka, a child's inheritance rights are not affected by the parents' divorce. Under the Succession Ordinance (No. 10 of 1985), children, regardless of their parents' marital status, are entitled to inherit from their parents. If the father or mother passes away without a will, the child is entitled to a share of the estate as a legal heir. The Family Court may also ensure that maintenance for the child is arranged, but divorce does not remove the child's legal right to inherit."
What is the Maintenance Ordinance (No. 24 of 1939) and how does it affect child and spousal maintenance?,"The Maintenance Ordinance (No. 24 of 1939) provides a legal framework for claiming maintenance from a spouse or parent for the financial support of children and spouses. If a spouse refuses to provide financial support, the other spouse or parent can apply to the Family Court for a maintenance order. The court assesses the financial capacity of the obligated party and the needs of the recipient, considering factors such as the standard of living and the child’s education. Maintenance orders can include financial support for children, spouses, or even other dependents."
Can a parent legally change their child’s surname in Sri Lanka after divorce?,"In Sri Lanka, changing a child’s surname after divorce requires a formal application to the Family Court. If both parents consent to the name change, the court will generally approve it. However, if one parent disagrees, the court will assess whether changing the surname is in the best interest of the child. If the child is over 14 years old, their opinion will also be considered. The court may allow the surname change if there are strong reasons, such as the child being raised primarily by one parent."
Can a spouse claim compensation for adultery in Sri Lanka?,"Yes, a spouse can claim compensation for adultery under the Marriage and Divorce Act (No. 19 of 1859) in Sri Lanka. If a spouse commits adultery, the other spouse may file for divorce on the grounds of adultery and may also seek compensation for emotional distress and the financial impact caused by the adultery. The court considers factors such as the degree of harm caused, the length of the marriage, and whether the offending spouse has financially harmed the other spouse."
What is the process to file for domestic violence protection under Sri Lankan law?,"Under the Domestic Violence Act (No. 34 of 2005), a victim of domestic violence can file for protection by applying to the Family Court or a Magistrate Court. The victim can seek a protection order, which can prohibit the abusive party from contacting them or coming within a certain distance. The court may also order the abuser to leave the shared residence and provide the victim with emergency relief, such as financial assistance or temporary housing. The act covers physical, emotional, and psychological abuse, and victims may also seek other remedies, such as compensation for damages."
Is it possible to have a legal separation instead of a divorce in Sri Lanka?,"Yes, it is possible to have a legal separation in Sri Lanka instead of a divorce. A legal separation allows the spouses to live apart without officially ending the marriage. Under the Divorce and Matrimonial Causes Ordinance (No. 1 of 1923), spouses can apply for a legal separation through the Family Court. The court will issue an order for maintenance, child custody, and property division. A legal separation does not dissolve the marriage, and either spouse can later apply for a divorce if they choose to end the marriage."
Can I change my marital status on my National Identity Card after a divorce in Sri Lanka?,"Yes, after a divorce in Sri Lanka, you can change your marital status on your National Identity Card. Once the divorce is finalized by the Family Court, you will need to submit a copy of the divorce decree to the Department of Registration of Persons to request the change. The new identity card will reflect your updated marital status as ""divorced."" It's important to ensure that all official documents, such as your ID and passport, are updated to reflect your current legal status."
What is the Children’s Charter (No. 50 of 1992) in Sri Lanka and how does it protect children?,"The Children’s Charter (No. 50 of 1992) in Sri Lanka is a key piece of legislation that aims to protect children's rights and ensure their well-being. It covers various aspects of child protection, including education, health, and protection from abuse or neglect. The charter emphasizes the child’s right to a safe environment, proper care, and a relationship with both parents. In cases of divorce or separation, the Children’s Charter guides the Family Court in making decisions about custody and maintenance, ensuring that the child’s best interests are always the priority."
What is the legal age for marriage in Sri Lanka?,"In Sri Lanka, the legal age for marriage is 18 years for both males and females. This is established under the Matrimonial Rights and Inheritance Ordinance (No. 1 of 1911). However, the legal age can be lowered to 16 years with the consent of the parents or guardians, but this exception applies only to females. Marriages involving minors (under the legal age) can be declared void, and those responsible for facilitating such marriages can face legal consequences."
"Can a marriage be annulled in Sri Lanka, and on what grounds?","Yes, a marriage can be annulled in Sri Lanka under certain conditions. The grounds for annulment are outlined in the Matrimonial Causes Ordinance (No. 1 of 1923). A marriage can be annulled if it is proven that one of the parties was mentally incompetent at the time of the marriage, the marriage was not consummated, or if the marriage was entered into under duress or fraud. Additionally, if one of the parties is already married, the marriage can be annulled. Annulment means that the marriage is considered void from the beginning, unlike divorce, which dissolves a valid marriage."
What happens to the property acquired during a marriage after divorce in Sri Lanka?,"In Sri Lanka, under the Marriage and Divorce Act (No. 19 of 1859), property acquired during a marriage is subject to equitable distribution during a divorce. Both spouses are entitled to a fair share of the property acquired during the marriage, even if it is registered in one spouse's name. If one spouse has contributed significantly more to the acquisition or maintenance of property, the court may grant them a larger share. The Family Court will assess the contributions made by each spouse, considering factors such as financial contributions, homemaking, and caregiving responsibilities."
How are alimony and maintenance calculated in Sri Lanka after divorce?,"Alimony and maintenance in Sri Lanka are determined by the Family Court under the Maintenance Ordinance (No. 24 of 1939). The court considers several factors when determining the amount, including the financial capacity of the paying spouse, the living standards of the recipient spouse, and any children involved. For alimony, the court will also assess the length of the marriage, the recipient spouse's ability to support themselves, and whether one spouse is entitled to support due to illness or other reasons. Child maintenance is determined based on the child's needs, including education, healthcare, and living expenses."
What is the role of the Family Court in Sri Lanka in resolving family disputes?,"The Family Court in Sri Lanka plays a crucial role in resolving family disputes, including divorce, child custody, maintenance, and property division. The Family Court Act (No. 50 of 1988) empowers the Family Court to hear and decide on matters related to marital disputes, child welfare, and domestic violence. The court can issue orders for divorce, maintenance, custody, visitation, and protection. It also promotes reconciliation through mediation, allowing parties to reach agreements without going to trial. The Family Court prioritizes the best interests of children and seeks to resolve disputes amicably whenever possible."
Can a woman claim property rights after divorce in Sri Lanka?,"Yes, a woman can claim property rights after divorce in Sri Lanka. Under the Marriage and Divorce Act (No. 19 of 1859), women have the right to a fair share of the property acquired during the marriage. This includes both movable and immovable property. If the property was acquired during the marriage, the court will consider the contributions of both parties, including financial contributions, homemaking, and care of children. The court will divide the property in a way that is deemed fair and just, taking into account the circumstances of both parties."
What are the rights of a wife in the event of domestic violence in Sri Lanka?,"In Sri Lanka, a wife who is a victim of domestic violence has the right to seek protection under the Domestic Violence Act (No. 34 of 2005). The law provides for the issuance of protection orders that prevent the abuser from coming into contact with the wife or entering the family home. The wife may also apply for a maintenance order for herself and any children involved. The law provides a legal avenue for women to protect themselves from physical, emotional, and psychological abuse. Additionally, the law allows for the provision of emergency relief, including shelter and financial assistance."
How does Sri Lankan law address the issue of adultery in a marriage?,"Adultery is one of the grounds for divorce under the Marriage and Divorce Act (No. 19 of 1859) in Sri Lanka. If a spouse commits adultery, the other spouse can file for divorce and may seek compensation for emotional distress or financial loss resulting from the adultery. Adultery can also impact decisions related to child custody and property division, depending on the circumstances of the case. The law allows the wronged spouse to claim damages or compensation from the adulterous spouse if the infidelity has caused harm."
Can a spouse contest a divorce petition in Sri Lanka?,"Yes, a spouse can contest a divorce petition in Sri Lanka. If one spouse files for divorce, the other spouse can either agree to the divorce or contest the grounds on which the divorce is being sought. The Matrimonial Causes Ordinance (No. 1 of 1923) allows the respondent spouse to present their case in court, challenging the allegations of adultery, cruelty, or other grounds for divorce. The court will hear both sides, assess the evidence, and decide whether a divorce should be granted."
What is the process for seeking child custody in Sri Lanka after a divorce?,"In Sri Lanka, child custody is determined by the Family Court under the Matrimonial Causes Ordinance (No. 1 of 1923). The court will prioritize the best interests of the child when making custody decisions. The court considers factors such as the child’s age, emotional and physical well-being, the ability of each parent to provide care, and the child’s relationship with both parents. If the child is over 14 years old, the court may consider the child's preference. Generally, the court may grant joint custody or award custody to one parent, with the other parent having visitation rights."
